singer,song,album,lyrics
Büyük Ev Ablukada,Ne Var Ne Yok,Full Faça,"Bu yanlış çok farklı
Bize ayıp bize güzel
Bahçe başka oyun aynı
Yine kayıp bizi üzen
O diil onlar diil
Yine kayıp bizi üzen
O diil onlar diil
Yine kayıp bizi üzen
Bi karışsak içlerine
Cebimizde taşlarla
Hangi puşt bizi üzen? Ne var ne yok? ne var ne yok?
Aşar bizi ömrün boyu
Aşar bizi ömrün boyu dalgalar gibi, boğuşmak zor cebimizde taşlarla
Fırlatıp atmaktansa, ağırlığıyla batsak ya, ikimiz de cebimizde taşlarla
Görmesin bizi
Görmesin mümkünse
Görmesin hiç kimse
Görmesin bizi
Görmesin mümkünse
Görmesin hiç kimse
Cebimizde taşlarla"
Büyük Ev Ablukada,Olanla Olunmaz,Full Faça,"Milyonlarca dert al biri senin olsun
Hayır istemem benden uzak dursun
Gelir, geçer, nasıl biter bilmem
Milyonlarca dert her biri senin olsun
Olanla olunmaz böyle yorulursun
Gelir, geçer, nasıl biter bilmem"
Büyük Ev Ablukada,Takıl Yani Takmıyo Belli,Full Faça,"Olur olmaz geriye dönenler
Deliye dönenler kadar rahat uyumazlar
Bu kez böyle hoşuna gidenler
Başına gelenler kadar senin olamazlar
Olur olmaz geriye dönenler
Deliye dönenler kadar rahat uyumazlar
Bu kez böyle hoşuna gidenler
Başına gelenler kadar bizim olamazlar
Ben sen o biz siz ve onlar 
Eee eee"
Büyük Ev Ablukada,Tayyar Ahmet'in Sonsuz Sayılı Günleri,Full Faça,"Çaldı saat kaç ölmedi
Kaldı ağrısı başında
O an Tayyar bizi sevmedi
Ee acık haklı esasında
Tophanede bir evde 
Uyandı Tayyar Ahmet
Yanında meçhul abla
Garabet mi garabet
Dayadı ağzını musluğa 
Yabancıyım buraya bu kusmuğa dedi
Kuyuya düşmüş it gibi
Telaşlı aptal bitkinim
Ama yine gelir beni bulur bu kafa
Moruk yok böyle bi sinema
Çıktı hatunu uyandırmadan
Şekilli otomat yandı basmadan
Bak bu asansör Türk
Bak bu asansör Türk
Dura bas kalalım arada derede arada
Dura bas kalalım arada derede arada (x2)
Bak bu asansör Türk
Bak bu dolma normal
Bak bu dolma normal
Rakı ver masaya Mualla
Yağ gibiymiş mübarek
(Yağ gibiymiş mübarek)
Göremez bilemez bu masa
Nerede durduğunu Apartman boşluğuna
Bir aile kurduğu
Bak bu asansör Türk
Bak bu asansör Türk
Dura bas kalalım arada derede arada
Dura bas kalalım arada derede arada
İnicem ben burda
Vurdu yola Tayyar Ahmet
Kırdı dümeni Beyoğlu'na
Tekimiz bk hepimiz çok diye
Selam verdi elin oğluna
Yolda burda bi yerde
Aklı rakıda ciğerde
Cuma günü içmez amma
Daha ilerde illallah
Dön evine tayyar karın bekler
Niye diye sormaz
Hazır yemekler (x2)
Ye yemeyi bak televizyona (x4)
Şallallalalalala
Kuyuya düşmüş it gibi
Telaşlı aptal bitkinim
Ama yine gelir beni bulur bu kafa
Moruk yok böyle bi sinema (x2)
Şallallalalalala"
Büyük Ev Ablukada,Çam Parçası,Olmadı Kaçarız,"hemen şimdi olmaz
bitince dertler yok olmaz ki
bi bildiğin varsa ona göre davran
kendini sıkma sakın
bu kabuslar yeni başladı
yoktu daha önce
yeni rüya görmek istemem burdan gelir
bu yağmurlar düşer beton gibi
çöker üstüme
olduğu gibi kalsın yeter"
Büyük Ev Ablukada,İhtimallerin Heyecanına Üzülüyorum,,"Karanlıkta gürlüyor şelale
Bilen bilir, bilemez beni
Konuşmadıklarınızda gerçek değil mi
İhtimallerin heyecanına üzülüyorum, ihtimallerin
Sırtımı verdim resimlere
Anılar telefonda duruyorlar
Peşimi bırakmıyor yükselişlerin
Her şey benimle ilgili değil ki
İhtimallerin heyecanına üzülüyorum
İhtimallerin heyecanına üzülüyorum, ihtimallerin
Kaybolmak işten değil ellerimde
Zeminler kıpırdıyor yerlerinde
Kendimce yol ayrımları içindeyim, içinizde
Ve ihtimallerin heyecanına üzülüyorum
İhtimallerin heyecanına üzülüyorum"
Can Bonomo,Abla,Aşktan ve Gariplikten,"Ben de yolumu buldum 
Ortasında durdum 
Ben de birine kandım 
O da beni sevdi sandım
Sevmedi dayandım
O da yolunu buldu 
O durmadı kudurdu
O da birine yandı
Kollarında durdu kaldı
Çok büyük yalandı
Gel yine dertli gönlüm, atıyor baştan
Yeniden silmiş seni yanıyor aşktan
Gel yine sustun halime, beni hiç sorma
Bakarız çaresine dönüyor dünya
Hadi yürü abla, aşkın yalan mı
Gittim daha giderim dedin, e bu kadar mı
Hadi yürü abla, alem aptal mı
Attın tuttun diye bu kadar sana kanar mı
Ben de yolumu buldum Ortasında durdum 
Ben de birine kandım 
O da beni sevdi sandım
Sevmedi dayandım
O da yolunu buldu 
O durmadı kudurdu
O da birine yandı
Kollarında durdu kaldı
Çok büyük yalandı
Gel yine dertli gönlüm, atıyor baştan
Yeniden silmiş seni yanıyor aşktan
Gel yine sustun halime, beni hiç sorma
Bakarız çaresine dönüyor dünya
Hadi yürü abla, aşkın yalan mı
Gittim daha giderim dedin, e bu kadar mı
Hadi yürü abla, alem aptal mı
Attın tuttun diye bu kadar sana kanar mı (3 kere)"
Can Bonomo,Aile İşi,,"Iki yatak bir çatı 
Bir evin bir katı 
Derli toplu bir oda
Bir anne bir baba 
Kahvaltı merhaba 
Uyandım galiba
Düşlerimden benim ailem
Ama sorsan keyfim âla
Kırılıyor tabi kalpler
Atıyorlar ama hâla (2x)
Bir abla bir abi
Olmaz mı yani
Bu saçma bir heves mi
Buldular çözümü
Kapatsam gözümü Mutlu aile resmi
Düşlerimden benim ailem
Ama sorsan keyfim âla
Kırılıyor tabi kalpler
Atıyorlar ama hâla (2x)
Güneş doğuyorsa
Tabi sebebi var
Gülmekte dahil 
Ölmekte dahil
Bu hayata yaşamak kadar
Düşlerimden benim ailem
Ama sorsan keyfim âla
Kırılıyor tabi kalpler
Atıyorlar ama hâla (2x)"
Can Bonomo,Ali Baba,Ali Baba,"Ali Baba her gece aç yattı
Ali Babanın karnı zil çaldı
Meteliğe kurşun attı
İflas etti birden battı
Ali Baba her gece aç yattı
Ali Baba ormana ters daldı
Karanlıkta yapayalnız tek kaldı
Ah zavallı Ali Baba
Kar etmiyor hiç bir çaba
Ali Baba her gece aç yattı
Ali Babanın karnı zil çaldı
Meteliğe kurşun attı
İflas etti birden battı
Ali Baba her gece aç yattı
Ali Baba ormana ters daldı
Karanlıkta yapayalnız tek kaldı Ah zavallı Ali Baba
Kar etmiyor hiç bir çaba
eşek buya inat etti dayattı
asmak kesmek,kelle ucurmak
hırsızlıktan altın vurmak (3)
Ali Babanın karnı zil çaldı
Meteliğe kurşun attı
İflas etti birden battı
Ali Baba her gece aç yattı
Ali Baba ormana ters daldı
Karanlıkta yapayalnız tek kaldı
Ah zavallı Ali Baba
Kar etmiyor hiç bir çaba
Ali Baba her gece aç yattı"
Can Bonomo,Ayıl,Meczup,"Derdin yoktu derdim benim sevgilim
unuttum kendimi derdin geri geldim
hayatın yoktu hayatım benim 
direndim kendimi verdim dahada güçlendim
Bana çok uzak bana çok uzak
hayattan
bıktırdılar tıkılmaktan 
ayıl
Sana çok uzun yollar kısa
hayatta hiç çekmedin güzel olmaktan
ayıl artık ayıl
ayıl artık ayıl Adın yoktu senin adın neydi sevgilim
bırak kendini hayatı bölüşelim
yolun yoktu senin yolun neresi
yanın benim canım yok ötesi
Bana çok uzak bana çok uzak
hayattan
bıktırdlıar tıkılmaktan
ayıl
Sana çok uzun yollar kısa
hayatta
hiç çekmedn güzel olmaktan
ayıl artık ayıl 
ayıl artık ayıl"
Can Bonomo,Bahr,Bulunmam Gerek,"Dilerdik pir-i şah
Uçmak o diyara
Filitreli cigara
Ve sunturlu bir nara
Duyulur sesimiz
Alem-i berzahta
Evi evde bıraktık
Refikalar nikahta
Yükle marşandize dizine kadar
Şiir de lazımsa
Bahr-i hazerler el sallar şairi
Nazımsa
Kaldır o gemileri cebine de sakla 
için sıkıldıysa
Zeval-i eleme de çıplak ayakla 
var oluyorduysa"
Can Bonomo,Balon,Meczup,"İçince sen beynin durur
Korkarsan şarkı söyle
Yalan dolan seni bulur
Gel yanıma gel bi böyle
At bi teklik üzülürsen
Kolay geçmez düşünürsen
Sen bilmezsin bu oyunu
Şaşırmam hiç yenilirsen
İçme artık fenasın
Ben tutmazsam kaçarsın
Herkesten çok rahatsın
Balon gibi uçarsın
Ağlama hiç git yoluna
Sen yine dans et böyle
Sakın gelme bu oyuna
Sarhoş gibi kalma öyle Çak bir votka sıkılırsan
Viskiden çok bayılırsa-a-aan
Dolapta biraz rakı var
Üzülme hiç ayılırsan 
Bittin artık tamam sın
Çakmak çaksam patlarsın
Sen yinede rahatsın 
Balon gibi uçarsın
İçme artık fenasın
Ben tutmazsam kaçarsın
Herkesten çok rahatsın
Balon gibi uçarsın  2 kere"
Can Bonomo,Bana Bir Saz Verin,Meczup,"Haydi! Yalan oldular ama yalanlar söylediler
Ama sen beni sev bi, bak yine bulduğunda kaçarım ben
Kimlere kandın, alem yine batmış bak çıkarım ben
Diner mi sandın, ama kendini zorlama böyle
Kala kala kimlere kaldın, hayat sana zormuş çok zormuş yandın
Aşık mı oldun ama korkma geçiyor
Yaranı sarma, ziyan
Beni ne sandın, bak dünya dönüyor
Sevdim de yandım, dünya yalan
Bana bir saz verin çalarım atarım tutarım keyfimden
Bana bir yaz verin ısınır içim güneşinden
Bana bir naz yapan olur ah ölürüm ben aşkımdan
Bana bir caz yapan olur ah kızarım alev gibi ben Ama kendini bul bi, şeytana kandıysan söyle
Kala kala kimlere kaldın, mutluysan üzgün bakma böyle
Geçer mi sandın, bana alem durmuş mu söyle
Yalan mı sandın, delikanlı severse sever böyle
Aşık mı oldun ama korkma geçiyor
Yaranı sarma, ziyan
Beni ne sandın, bak dünya dönüyor
Sevdim de yandım, dünya yalan yalan
Bana bir saz verin çalarım atarım tutarım keyfimden
Bana bir yaz verin ısınır içim güneşinden
Bana bir naz yapan olur ah ölürüm ben aşkımdan
Bana bir caz yapan olur ah kızarım alev gibi ben"
Can Bonomo,Bardak Taşıyor,,"Bardak taşıyor aman
Çok yalnızım ah kahretsin
Bir deli sevdalıyım
Allah sonumu hayretsin
Engeller büyür
Yine bu kervan yürür
O gider ben kalırım arkasından hayallerim ölür
Akşamlar kara
Aşkı sordum yollara
Yazdım ismini kor alevlere ellerim yara
Bardak taşıyor aman Bıktım içime atmaktan
Bardak taşıyor aman
Bu dans ateş ve baruttan
Dalga kıranlara tosladım ah
Derinlere rastlamadan
Bardak taşıyor aman
İdareten yaşamaktan
Rüyalarımdan eder beni bu güneş
Umutlarımdan alev alev bir ateş
Aldı aklımı gülmelerin hay Allah
Kırdı geçirdi sillelerin"
Can Bonomo,Basması Pembe,Aşktan ve Gariplikten,"Candır o basması pembe
Oynar o dur be desem de
Gel gör cenneti ala
Bir sevemedi beni hala
Söndür mumları yat kız
Gökte kalmadı yıldız
Sanma bir tek sen özelsin
Yalnız kaldım dersin
Ağla ağla kendini bağla
Bu deli kararlara
Duyma duyma sen sakın uyma
Bu fikri firarlara   2 kere
Candır o basması pembe
Oynar o dur be desem de
Gel gör cenneti ala
Bir sevemedi beni hala
Söndür mumları yat kız Gökte kalmadı yıldız
Sanma bir tek sen özelsin
Yalnız kaldım dersin
Ağla ağla kendini bağla
Bu deli kararlara
Duyma duyma sen sakın uyma
Bu fikri firarlara   2 kere
Yandır ah sen orda güzelsin
Bir sevdan olur mu dersin
İçimdeki başka dokunma bu aşka
Bir gönlünü aç da duyan biri gelsin
Ağla ağla kendini bağla
Bu deli kararlara
Duyma duyma sen sakın uyma
Bu fikri firarlara   4 kere"
Can Bonomo,Başkan,Aşktan ve Gariplikten,"Ayıkamadım bak lan, dön gölgene saklan
Hani saklı yerlerin, gizlideki revolverin
Anlamadım başkan, anlatıcam baştan
Dün bugün olsa yeniden 
Hep annemi dinlesem
Harama el sürmesem  x2
Olur olmadı bak lan, dön gölgene yaslan
Hani saklı geçmişin masum kabahatlerin
Anlamadın başkan, anlatıcam baştan
Sesim ayyuka çıksa yeniden
Hep bu şarkıyı söylesem
Okula hiç gitmesem x2
Başkan maskara ettin bizi bak
Yürü hadi kendi işine
Kim söyledi karamürsel sepeti mi sandın sen bizi ne ?
Kurakta bir öfke yetişdirdim ama mevsimi değildi
Sen beni tanıyamadın ama kime sorsan bilirdi Ayıkamadım bak lan, dön gölgene saklan
Hani saklı yerlerin, gizlideki revolverin
Anlamadım başkan, anlatıcam baştan
Dün bugün olsa yeniden 
Hep annemi dinlesem
Harama el sürmesem  
Sesim ayyuka çıksa yeniden
Hep bu şarkıyı söylesem
Okula hiç gitmesem
Dün bugün olsa yeniden 
Hep annemi dinlesem
Harama el sürmesem  
Sesim ayyuka çıksa yeniden
Hep bu şarkıyı söylesem
Okula hiç gitmesem"
Can Bonomo,Ben Yağmurum,Meczup,"Saate baktım dünya durmuş öyle şey olmaz ki
Yanına yattım beni uyutmuş ona güven olmaz ki
Ağla dur kendi kendine bizi kim kurtaracak?
Sen de gel dans et benimle, bir şey yok ağlayacak
Ben yağmurum, ak yüzüne damla damla
Ben yağmurum, bugün yağsam da yağmasam da
Ben yağmurum, karışmam bak ben gözyaşına
Ben yağmurum, yarın yağsam da yağmasam da
Yalanını atan voleyi vurmuş öyle şey olmaz ki
Maske takan yolunu bulmuş kurda güven olmaz ki
Ağla dur kendi kendine bizi kim kurtaracak?
Sen de gel dans et benimle, bi şey yok ağlayacak Ben yağmurum, ak yüzüne damla damla
Ben yağmurum, bugün yağsam da yağmasam da
Ben yağmurum, karışmam bak ben gözyaşına
Ben yağmurum, -yarım yağsam da yağmasam da-
Sonunda durdum ben gel peşimden
Şimşekler içinden yağmur
Gel sen de yağ benle ya tepeden
Göklerin en üstünden yağmur
Ben yağmurum, ak yüzüne damla damla
bugün yağsam da yağmasam da
karışmam bak ben gözyaşına
Ben yağmurum, yarım yağsam da yağmasam da"
Can Bonomo,Beni Affet,,"Beni affet
Kaybetmek için çok erken
Sevmek için de çok geç
Beni affet
Bir adım kalmalı geriye
Kırılmış şeylerin nihayetine
Yalnızlığın eşiğinde
Beni affet
Ben seni sevdiğim zaman bu şehirde
Yağmurlar yağardı
Ben seni sevdiğim zaman bu şehirde
Ayrılık kurşun gibi ağırdı
Beni affet
Şiirler gözlerini
Şarkılar saçlarını söylemedi
Beni affet﻿"
Can Bonomo,Bir Çocuk Yaralı,Bulunmam Gerek,"Yalnızım yine yalnız sensiz sessiz boş evimde
Kelimeler anlamsız yırtık bir resim elimde
Boşver sen onları
Acımasız sonları
Geri gel o yolları boşver
Vur beni vur cebimde anılar
Kalbimde bir çocuk yaralı var
Kaz daha kaz derinde yaralar
Dön geri sev beni bu aralar
Yalnızım yine yalnız sensiz sessiz boş evimde
Kelimeler anlamsız yırtık bir resim elimde
Boşver sen onları
Acımasız sonları
Geri gel o yolları boşver Vur beni vur cebimde anılar
Kalbimde bir çocuk yaralı var
Kaz daha kaz derinde yaralar
Dön geri sev beni bu aralar
Her yer paramparça her yer kan
Bitmek bilmeyen son bir an
Kayıp gider ellerimin altından
Son bir kez gül dursun zaman
Dursun zaman
Vur beni vur cebimde anılar
Kalbimde bir çocuk yaralı var
Kaz daha kaz derinde yaralar
Dön geri sev beni bu aralar"
Can Bonomo,Bravo,,"Ne kadar güzelsin gerçekten aferin 
Bakışların deniz ama deniz daha derin 
Hep kendini düşün 
En başlıca işin 
Burnun hep havada
 Sanki hiç yok eşin
 Sen boz alem uğraşsın dursun 
Kaç sen onlar peşinde koşsun 
Kır kalpleri varsın olsun aman 
Bravo o zaman 
Neyin var dediler bozdun attın 
Dostum dediler üç kuruşa sattın İflah olmadı selamını alan 
Bravo o zaman
 Neyim var bugün 
Neden böyleyim
 Çıkarsam yataktan belki şarkılar söylerim 
Bir sorun mu var sanki gülüyor yüzün 
Sana mutluluklar dünyaya hüzün
 Sen boz alem uğraşsın dursun 
Kaç sen onlar peşinde koşsun 
Kır kalpleri varsın olsun aman 
Bravo o zaman"
Can Bonomo,Bu Benim,,"Gidiyor musun hemen
Gecenin sabahı var
Balkondaki güller bile senden çok dayandılar
Çok mutlu üstelik
Bir de raks eder
Ben bi' derdi derdim ama dersem nükseder
İşte bak görüyor musun a güzelim
Hep geride kalan olmaktır kaderim
Kimlere katlanır bu gönül
Ama yine gün eder günü
Yoluna devam eder hiç görmese de önünü
Dur yere ağladım bu gece
Yine sabah olmadan gülerim
İster sev ister öldür beni
Bu benim"
Can Bonomo,Bulunmam Gerek,Bulunmam Gerek,"Dur aman damarıma öylece basma
Yar dolayamadı boynuma tasma
Gel be gel bi' gel de içeri
Ayağının altına eteklerin ile
Al be al bi' al beni yanına
Bana köyümden bi' selam gerek
Kayboldum bulunmam gerek
Esir oldum kurtulmam gerek
Zincirlendim taşlara
Döktüğüm once yaşlara
Değmezmiş eyvallah demek
Aşk güzel olanı kalbe seçince
Meşk oyunları hızlı geçince
Dur be dur bi' dur da gideyim
Köylüme şehirden haberler edeyim Yaz be yaz da yaz bunu kağıda
Bana köyümden bi' selam gerek
Kayboldum bulunmam gerek
Esir oldum kurtulmam gerek
Zincirlendim taşlara
Döktüğüm onca yaşlara
Değmezmiş eyvallah demek
İçerim yanar ah içince
Fikri akl-ı selim terk edince
Sorarım yare ince ince
Haber et bana selam gelince
Aşarım dağları delerek
Yollarımda bu dağlara ne gerek
Paralandı gurbet elde bu yürek
Bana köyümden bi' selam gerek"
Can Bonomo,Daha Sıcak Daha Dumanlı,Meczup,"Ne kadar çıkar sesin bak bas bas bas bağırarak
Yakında kopacak çok derinden
Sen de söyle istersen, sana da yer var burda gel gel gel
Sıra kimde
Bari sen de söyle ya sen de
Daha sıcak daha sıcak daha dumanlı
Çırpınır durur akar bu yaşlar bak bak bak gözlerinden
Dönmeyiz sözünden yürür izinden
Sen ne buldun ölümde daha çok yol var önünde gel gel gel Sıra kimde
Bari sen de vurma sen de
Savaş biter sen iste yeter yaz yaz yaz yaz yaz duvara
Ordular kızacak darbe olacak
Katıl sen de istersen barışa yer var burada gel, gel gel gel
Sıra bizde
Durma sen de söyle sen de"
Can Bonomo,Defol,Meczup,"Bana soru moru sorma
Defol git olur mu?
Hadi yürü yürü durma
Uzaklaş olur mu?
Sen yanı yanı başımdan, eksilttin yaşımdan
Sen kendini paylaş, seni kim alır?
Döktürdüğün her yaş yanına kalır
Başkası zor olur, aşkın unutulur
Yollara vur, sebebini vur
Git artık peşimden, kaldım bak işimden
Gün geçmiyor ah, gölgeler içinde
Beni içmiyor ah, sendeler biçimde 
Yol bitmiyor ah, kin doldu şu kalbim
Seyretmiyor ah, bu yolu ne zalim
Bana soru moru sorma Defol git olur mu?
Hadi yürü yürü durma
Uzaklaş olur mu?
Sen yanı yanı başımdan, eksilttin yaşımdan
Sen kendini paylaş, seni kim alır?
Döktürdüğün her yaş yanına kalır
Başkası zor olur, aşkın unutulur
Onlara yor, kendine sor
Aldın bak ruhumu benden
(x2)
Gün geçmiyor ah, gölgeler içinde
Beni içmiyor ah, sendeler biçimde 
Yol bitmiyor ah, kin doldu şu kalbim
Seyretmiyor ah, bu yolu ne zalim"
Can Bonomo,Dem,Bulunmam Gerek,"Dem aydınlandı sahneler
Kapandı meyhaneler
O gözler bana bir baktı
Bir yandı bir söndü şehirler
O eller beni bir tuttu
Durdu ırmaklar nehirler
Bir tutam sevdanı ver Dem
Yaşamak sensin madem
Al beni çek götür uzaklara
Aşk neymiş görsün alem
Dem ellerin tenime değer
Hayat ne boşmuş meğer
Demdir o birtanemdir o
Dem söyle sen de aşıksan eğer
Demdir acıma merhemdir o
Sen varsan yaşamak sana değer Bir tutam sevdanı ver Dem
Yaşamak sensin madem
Al beni çek götür uzaklara
Aşk neymiş görsün alem
Dem hadi gel yanıma
Al beni kollarına
Şimdilik ayrıyız ama
Düştüm yine yollarına
Dem bir dokun tenime
Değsin ellin ellerime
Şimdilik ayrıyız ama
Yeter benim hasretime
Bir tutam sevdanı ver Dem
Yaşamak sensin madem
Al beni çek götür uzaklara
Aşk neymiş görsün alem"
Can Bonomo,Derda (Koy Bi' Rakı Şişeden),Aşktan ve Gariplikten,"Koy bi' rakı şişeden
Sen es rüzgar utansın
Ellerinde açsın güneş
Yandı kalbin, oldun ateş
Yerine dolmuyor
Koy bi' rakı şişeden
Sen aç, dünya kapansın
Yollarında güller açsın
Bitmedin, sen her zamansın
Seni çalan kader utansın
Böyle olmuyor
Yalvardın dinledi mi?
Ağlardın sen dedi mi?
Aldılar bak canını
Koy bi' rakı şişeden
Gülümse bize köşeden
Bak beter oldun ağlaya ağlaya
Gel be geri yeniden2 kere
Koy bi' rakı şişeden
Sen es rüzgar utansın
Ellerinde açsın güneş
Yandı kalbin, oldun ateş
Yerine dolmuyor Koy bi' rakı şişeden
Sen aç, dünya kapansın
Yollarında güller açsın
Bitmedin, sen her zamansın
Seni çalan kader utansın
Böyle olmuyor
Derda derda derda
Bir umut ol da gel da!
Bir bulut ol da yağ üstüme
Sen kokan yağmurunla 
Bir bulut ol da yağ üstüme
Sen kokan yağmurunla 
Yalvardın dinledi mi?
Ağlardın sen dedi mi?
Aldılar bak canını
Koy bi' rakı şişeden
Gülümse bize köşeden
Bak beter oldun ağlaya ağlaya
Gel be geri yeniden2 kere"
Can Bonomo,Derinden,Albüm Dışı,"Çıktım artık yolumdan
Tutma beni kolumdan
Öpme beni yaramdan
Aldım onu babamdan
Gözleri vardı, sözleri yoktu
Kollarımda durdu yine ta derinden
Elleri vardı, hep yanımdaydı
Gitti şimdi yaktı beni de ta derinden
İşleri vardı, hep yolundaydı
Kapattı kapıyı arkasından ah ederken
Düşleri vardı, siyah ve beyazdı
Süzüldü uçtu ruh mecazı mateminden
Kaybettik kanımızı
Almayın canımızı 
Döndük artık seferden
Kaybettik çok evvelden 
Toprak oldum oyundan
Çaldım az da suyundan
Şimdi seksen oldum ben
Geçti ömrüm önünden
Çıktım artık yolumdan
Tutma beni kolumdan Öpme beni yaramdan
Aldım onu babamdan
Gözleri vardı, sözleri yoktu
Kollarımda durdu yine ta derinden
Elleri vardı, hep yanımdaydı
Gitti şimdi yaktı beni de ta derinden
İşleri vardı, hep yolundaydı
Kapattı kapıyı arkasından ah ederken
Düşleri vardı, siyah ve beyazdı
Süzüldü uçtu ruh mecazı mateminden
Toprak oldum oyundan
Çaldım az da suyundan
Şimdi seksen oldum ben
Geçti ömrüm önünden
Çıktım artık yolumdan
Tutma beni kolumdan
Öpme beni yaramdan
Aldım onu babamdan
Sevdim onu ta derinden
Sevdim onu ta derinden
Sevdim onu ta derinden"
Can Bonomo,Dört,Albüm Dışı,"Aldırma dedi el içelim
Eski yasak aşklardan bahsedelim
Anlat dedi bana paylaş derdini
Anlat dedim ona aşkın dört halini
Kimi der hiç bırakmam durmaz ki yanında
Kimi der bana güvenme gider hep yolundan
Kimi der aşkım sönmez yanmaz ki en başından
Ben çok başka sevmişim kal kollarımda
Sen korkma dedim ben böyle güzelim
Eski şarkılarla dans edelim Anlat dedim ona paylaş derdini 
Anlat dedi bana aşkın dört halini
Kimi der beni unutma yazmaz seni aklına
Kimi der beni acıtma kıymaz hiç canına
Kimi der ben üzerim bak senden güzelim
Ben çok başka sevmişim sensin benim özelim
Kimi der hiç bırakmam durmaz ki yanında
Kimi der bana güvenme gider hep yolundan
Kimi der aşkım sönmez yanmaz ki en başından
Ben çok başka sevmişim kal kollarımda"
Can Bonomo,Elma Dersem Çık,Albüm Dışı,"En doğrusu da olur, tam aksi de
Herkes bambaşka bu galakside
Bu sezonun renkleri çok neşeli
Senin hatunun jetonu köşeli
Hani ; 
Vay vay vay vay
Vah vah vah vah
Hih hih hih hih
Hah hah hah hah 
Yeni jenerasyon deli handikaplı
İçi alkol dolu, plastik bardaklı
Hani masallar kelaynaklı
Bütün alemler internet kaynaklı
Hani ;
Vay vay vay vay
Vah vah vah vah
Hih hih hih hih
Hah hah hah hah
Elma dersem çık, armut demezsem
Girme kanıma, seni istemezsem En doğrusu da olur, tam aksi de
Herkes bambaşka bu galakside
Bu sezonun renkleri çok neşeli
Senin hatunun jetonu köşeli
Hani ;
Vay vay vay vay
Vah vah vah vah
Hih hih hih hih
Hah hah hah hah
Yeni jenerasyon deli handikaplı
İçi alkol dolu, plastik bardaklı
Hani masallar kelaynaklı
Bütün alemler internet kaynaklı
Hani ;
Vay vay vay vay
Vah vah vah vah
Hih hih hih hih
Hah hah hah hah"
Can Bonomo,Erkekler De Ağlar,,"Her şey kanun, her şey kural, her şey garip
Bıkmadın mı dik durmaktan, gözyaşlarını silip silip
Sırtında bir yük var, gözün dalıyor
İçindeki çocuk senin yerine ağlıyor
Erkekler de ağlar, sev gözyaşını
Küçükken ağlardın unuttun mu, masum uslu
Erkekler de ağlar, katlanamaz hüzüne
İndir maskeni bak yaşların yakışıyor yüzüne
Herkes farklı, herkes renkli, herkes soluk
Güçlü, güçsüz herkes ağlar için için, oluk oluk Dalmışsın uzaklara, gözlerin donuk
Bekliyor ağlamanı içindeki çocuk
Erkekler de ağlar, sev gözyaşını
Çocukken ağlardın unuttun mu masum uslu
Erkekler de ağlar, katlanamaz hüzüne
İndir maskeni bak yaşların yakışıyor yüzüne
Gözyaşların seni sen yapıyor,
Erkekler de ağlar kardeşim silme yaşını
Erkekler de ağlar, sev gözyaşını
Küçükken ağlardın unuttun mu, masum uslu
Erkekler de ağlar, katlanamaz hüzüne
İndir maskeni bak yaşların yakışıyor yüzüne"
Can Bonomo,Esmer,Kâinat Sustu,"Aslında çok bir şey yok anlatacak
Gidiyorum sadece ve hepsi bu
Bir yağmur ikimizi birden ıslatacak
Temiz olacak bu işin sonu
Yalan esmerse kanmayı seçer insan
Ben öyle sevdim; durma, kandır beni
Cehennem ol sen, yanmayı seçer insan
Sen gül yeter, yandır beni
Bu şarkı ne merhaba ne bir veda
Ağlama yeter, benim canım feda
Bir yağmur ikimizi birden ıslatacak
Temiz olacak günün sonunda 
Yalan esmerse kanmayı seçer insan
Ben öyle sevdim; durma, kandır beni
Cehennem ol sen, yanmayı seçer insan
Sen gül yeter, yandır beni"
Can Bonomo,Eğlen,,"Günleri aştım da kendime şaştım
Yine de geldim sana
Az biraz gir sen de koynuma
Günahı boynuma
Eğlen eğlen
Gülü dalına yolu sonuna
Beni yanına seni canıma
Eli belime lafı yerine
Koyar kader
Yükün hep ağırdı çektiğin kahırdı
Yine de gül biraz
Az biraz gel sarıl bana
Görmedim böyle naz
Zaten al boynumuz kıldan ince
Gül bari eğlenince
Koy çalsın şarkımız sonralarda
Önceler kirlenince"
Can Bonomo,Haberler İyi Paşam,Aşktan Ve Gariplikten,"Demir attı bir alamet
Yine koptumu kıyamet
Aldım verdim yine geri
Bana kalmadı muhabbet
Akın var güneşe akın
Güneşin zaptı yakın - 2 kere
Doğruyu söylemiyorlar 
Haberler iyi paşam
Yok hiç çizmeyi aşan
Şımarıpta geri kaçan 
Ben yine atayım, kafam rahat olsun
Diye kurşun saçan
Kandır anam kandır yaraşır 
Her inanan kendiyle savaşır
Yaz şiiri, kime kandın be ozan
Güvendik de soyulduk mu biz o zaman
Bizde sizi adam sandık 
Ama bize yine mi kol
Hani elektrik ve yol
Ya da başka birileri ov ov ov ov - 2 kere Doğruyu söylemiyorlar
Uzayda aşk var paşam
Gazetede çıkmayan 
Bak aldı beni bir heyecan
Cahil ayvaz kasap, hep ayrı bir hesap
E anlatsan anlayacağım 
Kandır anam kandır yaraşır 
Her inanan kendiyle savaşır
Yaz şiiri, kime kandın be ozan
Güvendik de soyulduk mu biz o zaman
Bizde size alim sandık 
Ama bize yine mi biiip 
Rakıları içip içip
Kafaları çekip çekip - 2 kere"
