singer,song,album,lyrics
Ahmet Kaya,Alnında Dağ Ateşi,Yorgun Demokrat,"Alnını dağ ateşi ile ısıtan dostum,
Yüzünü kan ile yıkayan dostum,
Senin uyurken dudağında gülümseyen bordo gül,
Benim yüreğimi harmanlayan isyan olsun
Şimdi dingin gövdende uğultu ile büyüyen sessizlik, 
Ellerimde patlamaya sabırsız mavzer olsun!
Başını omuzuma yasla,
Gögsümde taşıyayım seni,
Gövdem gövdene,  
Gövdem gövdene,
Gövdene can olsun"
Ahmet Kaya,Amanın Minnoş,İyimser Bir Gül,"Dağda keklik avlarım 
Tabancamı yağlarım 
Ben bir öksüz oğluyam 
Gençliğime yanarım 
Amanım minnoş, minnoş 
Yaktın beni minnoş 
Yine oldu akşamlar 
Eğleniyor gagoşlar 
Vay benim deli gönlüm 
Nerelerde akşamlar 
Amanım minnoş, minnoş 
Yaktın beni minnos 
Zalım ağlattı beni 
Derde bağlattı beni 
En yoksul&kötü günlerimde 
Bıraktı gitti beni 
Amanım minnoş, minnoş 
Yaktın beni minnoş"
Ahmet Kaya,Amenna (Yaşayanlar Bir Gün Ölür),Acılara Tutunmak,"Yaşayanlar bir gün ölür
Bir gün ölür elbette
Ağaçlarla balıklarla
Kuşlarla ben amenna
Ağlayanlar bir gün güler
Bir gün güler elbette
Uyanmakla anlamakla
Bilmekle ben amenna
Kısa çöp uzun çöpten 
Hakkını alır elbette
Direnmekle kurtulmakla
Barışla ben amenna"
Ahmet Kaya,An Gelir,An Gelir,"Paldır küldür yıkılır bulutlar
Gökyüzünde anlaşılmaz bir heybet
O eski, o eski heyecan ölür
An gelir biter muhabbet
Şarkılar susar heves kalmaz
Şataraban ölür
Şarabın gazabından kork
Çünkü fena kırmızıdır
Kan tutar & tutan ölür
Sokaklar kuşatılmış
Karakollar taranır
Yağmurda bir militan ölür
An gelir;
Ömrünün hırsızıdır
Her ölen pişman ölür
Hep yanlış anlaşılmıştır
Hayalleri yasaklanmış
An gelir şimşek yalar
Masmavi dehşetiyle siyaset meydanını
Direkler çatırdar yalnızlıktan
Sehpada pir sultan ölür Son umut kırılmıştır
Kaf dağı' nın ardındaki
Ne selam artık ne sabah
Kimseler bilmez nerdeler
Namlı masal sevdalıları
Evvel zaman içinde
Kalbur saman ölür
Kubbelerde uğuldar baki
Çeşmelerden akar sinan
An gelir
-la ilahe illallah-
Kanuni süleyman ölür
Görünmez bir mezarlıktır zaman
Şairler dolaşır saf saf
Tenhalarında şiir söyleyerek
Kim duysa & korkudan ölür
-tahrip gücü yüksek-
Saatli bir bombadır patlar
An gelir;
Attila ilhan ölür"
Ahmet Kaya,Arka Mahalle,Dinle Sevgili Ülkem,"Ağladım gözyaşlarım döndü denize
Ben derdimi kimseye söyleyemedim
Kurşunlara gelirken arka mahallede
Düştüm de yerlere bir of demedim
Başıma neler geldi sana diyemedim
Beni kaç kere dövdüler
Adını söylemedim of of of of
Yıkılsın evin
Ağladım gözyaşlarım düştü ateşe
Yine de bu yangını söndüremedim
Bağıra bağıra yazdım seni içime
Bir kez olsun yüzünü güldüremedim"
Ahmet Kaya,Arpa Orağa Geldi,Resitaller,"Arpa orağa geldi
Zülüf tavafa geldi
Kalkın selama durun
O yar odama geldi
Değirmen kentli olur
Yar seven dertli olur
Seversen bir güzel sev
Güzel mürvetli olur
Arpalar dize kadar
Yarim gel bize kadar
Sana bir çorap aldım
Topuktan dize kadar"
Ahmet Kaya,Ay Gidiyor,Dosta Düşmana Karşı,"Canım ey canım ey 
Canım eylen ey 
Evimi başıma yıkıp giden hey 
Kapkara büyürken 
Geceler derinden 
Canımı içimden 
Alıp giden hey 
Ay gidiyor 
Güllerim kanıyor 
Gün yüzünü dönüyor Ay gidiyor 
Günlerim yanıyor 
Gül yüzün dönmüyor 
Canım ey canım ey 
Yanan ömrüm ey 
İçime ateşi 
Koyup giden hey 
Sessizce büyürken 
Avluda cehennem 
Güneşi koluna 
Takıp gelsen hey"
Ahmet Kaya,Ay Karanlık,Resitaller,"Maviye, 
Maviye çalar gözlerin, 
Yangın mavisine 
Rüzgârda âsi 
Körsem, 
Senden gayrısına yoksam, 
Bozuksam, 
Can benim, düş benim, 
Ellere nesi? 
Hadi gel, 
Ay karanlık 
İtten aç, 
Yılandan çıplak, 
Vurgun ve belâ 
Gelip durmuşsam kapına 
Var mı ki doymazlığım? 
İlle de ille 
Sevmelerim, Sevmelerim gibisi 
Oturmuş yazıcılar 
Fermanım yazar 
N'olur gel, 
Ay karanlık 
Dört yanım puşt zulası, 
Dost yüzlü, 
Dost gülücüklü 
Cıgaramdan yanar, 
Alnım öperler, 
Suskun, hayın, çıyansı, 
Dört yanım puşt zulası, 
Dönerim dönerim çıkmaz 
En leylim gecede ölesim tutmuş, 
Etme gel, 
Ay karanlık"
Ahmet Kaya,Aynı Daldaydık,Ağlama Bebeğim,"Saat 21'i vuranda
Burada kan panalar çalardı
Burada
Burada hasret ve dert,
Sen nerdeydin?
Bugün
Bugün görüş günümüz
Herkes geldi, sen nerdeydin?
Aynı daldaydık
Aynı daldaydık
Aynı daldan düştük ayrıldık
Aramızda yüzyıllık zaman Yol yüzyıllık
Tam yüzyıl
Tam yüzyıl oldu yüzünü görmeyeli
Gözlerin içimde durmayalı
Dokunmayalı sıcaklığına karnının 
Tam yüzyıldır bekler beni bu şehirde bir kadın
Aynı daldaydık
Aynı daldaydık
Aynı daldan düştük ayrıldık
Aramızda yüzyıllık zaman
Yol yüzyıllık"
Ahmet Kaya,Ayrılık Hediyesi,Resitaller,"Şimdi saat sensizliğin ertesi
Yıldız doğmuş gökyüzü ay-aydın
Avutulmuş çocuklar çoktan sustu
Bir ben kaldım tenhasında gecenin
Avutulmamış bir ben
Şimdi gözlerime ağlamayı öğrettim
Ki bu yaşlar
Utangaç boynunun kolyesi olsun
Bu da benden sana
Ayrılığın hediyesi olsun
Soytarılık etmeden güldürebilmek seni
Ekmek çalmadan doyurabilmek
Ve haksızlık etmeden doğan güneşe
Bütün aydınlıkları içine süzebilmek gibi
Mülteci isteklerim oldu ara sıra, biliyorsun
Şimdi iyi niyetlerimi
Bir bir yargılayıp asıyorum
Bu son olsun be bu son olsun!
Buda benim sana
Ayrılırken muazeretim olsun!
Şimdi saat yokluğunun belası
Sensiz gelen sabaha günaydın! İşi-gücü olanlar çoktan gitti
Bir ben kaldım voltasında sensizliğin
Hiç uyumamış bir ben
Şimdi dişlerimi sıkıp
Dudaklarıma kanamayı öğrettim
Ki bu kızıl damlalar
Körpe yanağında bir veda busesi olsun
Bu da benden sana
Heba edilmiş bir aşkın
Son nefesi olsun
Kafamı duvara vurmadan
Tanıyabilmek seni
Beyninin içindekileri anlayabilmek
Ve yitirmeden, yüzündeki anlık tebessümü
Bütün saatleri öylece dondurabilmek için
Çıldırasıya paraladım kendimi
Lanet olsun!
Artık sigarayı üç pakete çıkardım günde
Olsun be! ne olacaksa olsun!
Bu da benim sana,
Ayrılırken şikayetim olsun!"
